idna_subject,checker_type,destination,tested_at
1356493418.log.optimizely.com,AVAILABILITY,domains.list,2021-07-31 11:34:11.170751
2505110097.log.optimizely.com,AVAILABILITY,domains.list,2021-07-31 11:46:19.189138
3431070370.log.optimizely.com,AVAILABILITY,domains.list,2021-07-31 12:01:56.122227
4081112471.log.optimizely.com,AVAILABILITY,domains.list,2021-07-31 12:23:15.946985
4399750608.log.optimizely.com,AVAILABILITY,domains.list,2021-07-31 12:29:48.568781
5-6-7-ios.error.ingest.crittercism.com,AVAILABILITY,domains.list,2021-07-31 12:34:15.696913
5-6-8-ios.error.ingest.crittercism.com,AVAILABILITY,domains.list,2021-07-31 12:34:16.477627
5-6-8-ios.network.ingest.crittercism.com,AVAILABILITY,domains.list,2021-07-31 12:34:16.993405
5-6-8-ios.userflows.ingest.crittercism.com,AVAILABILITY,domains.list,2021-07-31 12:34:17.655204
5-7-1-ios.userflows.ingest.crittercism.com,AVAILABILITY,domains.list,2021-07-31 12:34:18.862831
58011369.log.optimizely.com,AVAILABILITY,domains.list,2021-07-31 12:37:37.544046
6203590383.log.optimizely.com,AVAILABILITY,domains.list,2021-07-31 12:46:07.315812
769d-c753-0324-3d79.reporo.net,AVAILABILITY,domains.list,2021-07-31 13:01:16.662145
76eb-9bb9-c63f-f747.reporo.net,AVAILABILITY,domains.list,2021-07-31 13:01:44.624825
76f0-a13b-e8ea-56d4.reporo.net,AVAILABILITY,domains.list,2021-07-31 13:01:48.681775
7718-58fd-2844-4d60.reporo.net,AVAILABILITY,domains.list,2021-07-31 13:01:53.939665
7731-1e8f-2cbc-ae5e.reporo.net,AVAILABILITY,domains.list,2021-07-31 13:02:07.361432
774c-9b22-aef6-2d99.reporo.net,AVAILABILITY,domains.list,2021-07-31 13:02:17.234786
adcount.fyber.com,AVAILABILITY,domains.list,2021-07-31 14:21:04.611601
adm-product.superads.cn,AVAILABILITY,domains.list,2021-07-31 14:22:09.127036
admin-ssp.ad.xiaomi.com,AVAILABILITY,domains.list,2021-07-31 14:22:48.114414
adproxy-as-us-west.fyber.com,AVAILABILITY,domains.list,2021-07-31 14:27:09.244551
ads202.ortb.adtelligent.com,AVAILABILITY,domains.list,2021-07-31 14:32:45.440864
adserverapi.onedigitalad.com,AVAILABILITY,domains.list,2021-07-31 14:41:26.125411
ag.gbc.criteo.com,AVAILABILITY,domains.list,2021-07-31 14:57:52.366718
api.adsymptotic.com,AVAILABILITY,domains.list,2021-07-31 15:17:11.277585
app.wpsmail.net,AVAILABILITY,domains.list,2021-07-31 15:34:30.707057
apps.sokrati.com,AVAILABILITY,domains.list,2021-07-31 15:38:19.768942
appsapihk.veinteractive.com,AVAILABILITY,domains.list,2021-07-31 15:38:31.361359
appsapiusa.veinteractive.com,AVAILABILITY,domains.list,2021-07-31 15:38:32.205932
aps.insight.adsrvr.org,AVAILABILITY,domains.list,2021-07-31 15:41:10.957182
arcomobi.g2afse.com,AVAILABILITY,domains.list,2021-07-31 15:43:24.350906
