subject,idna_subject,expiration_date,epoch
01l.xyz,01l.xyz,20-apr-2021,1618876800.0
0d847862199.com,0d847862199.com,11-may-2021,1620691200.0
11x11.com,11x11.com,03-may-2021,1620000000.0
123metrics.com,123metrics.com,16-jun-2021,1623801600.0
1bcde.com,1bcde.com,06-aug-2021,1628208000.0
1e122c580cf.com,1e122c580cf.com,25-jun-2021,1624579200.0
1gbits.com,1gbits.com,12-sep-2029,1883865600.0
1phads.com,1phads.com,12-feb-2021,1613088000.0
2znp09oa.com,2znp09oa.com,24-feb-2021,1614124800.0
360yield.com,360yield.com,02-jun-2021,1622592000.0
45eijvhgj2.com,45eijvhgj2.com,19-jul-2021,1626652800.0
49oa3o49b6.com,49oa3o49b6.com,11-jul-2021,1625961600.0
4dsply.com,4dsply.com,10-apr-2021,1618012800.0
4jnzhl0d0.com,4jnzhl0d0.com,24-feb-2021,1614124800.0
6ldu6qa.com,6ldu6qa.com,24-feb-2021,1614124800.0
7eer.net,7eer.net,28-jan-2021,1611792000.0
82o9v830.com,82o9v830.com,24-feb-2021,1614124800.0
9dot9.in,9dot9.in,13-aug-2022,1660348800.0
a-ads.com,a-ads.com,07-jul-2021,1625616000.0
a-msedge.net,a-msedge.net,06-mar-2021,1614988800.0
a1dev.com,a1dev.com,13-jun-2026,1781308800.0
a1stats.com,a1stats.com,30-jan-2021,1611964800.0
a63t9o1azf.com,a63t9o1azf.com,08-jun-2021,1623110400.0
aanqylta.com,aanqylta.com,25-jan-2021,1611532800.0
aarth.com,aarth.com,29-jul-2021,1627516800.0
aatkit.com,aatkit.com,12-apr-2021,1618185600.0
abnormour.club,abnormour.club,14-mar-2021,1615680000.0
abrts.pro,abrts.pro,02-feb-2021,1612224000.0
abruptroad.com,abruptroad.com,21-mar-2021,1616284800.0
accengage.com,accengage.com,07-mar-2022,1646611200.0
accountkit.com,accountkit.com,28-apr-2027,1808870400.0
accuenmedia.com,accuenmedia.com,23-jul-2021,1626998400.0
acertb.com,acertb.com,01-apr-2021,1617235200.0
act-on.com,act-on.com,21-aug-2024,1724198400.0
actionx.com,actionx.com,26-jul-2021,1627257600.0
actonsoftware.com,actonsoftware.com,14-jun-2024,1718323200.0
actuallysheep.com,actuallysheep.com,21-mar-2021,1616284800.0
acuityads.com,acuityads.com,25-sep-2021,1632528000.0
ad-delivery.net,ad-delivery.net,03-may-2021,1620000000.0
ad4game.com,ad4game.com,12-may-2021,1620777600.0
adadvisor.net,adadvisor.net,08-apr-2024,1712534400.0
adara.com,adara.com,31-jan-2021,1612051200.0
adbrau.com,adbrau.com,22-apr-2021,1619049600.0
adcolony.com,adcolony.com,07-aug-2021,1628294400.0
addthis.com,addthis.com,25-may-2021,1621900800.0
adelphic.com,adelphic.com,02-feb-2021,1612224000.0
adexchangecloud.com,adexchangecloud.com,27-apr-2021,1619481600.0
adexchangedirect.com,adexchangedirect.com,27-apr-2021,1619481600.0
adexchangegate.com,adexchangegate.com,27-apr-2021,1619481600.0
adexchangetracker.com,adexchangetracker.com,27-apr-2021,1619481600.0
adexten.com,adexten.com,23-jun-2021,1624406400.0
adgear.com,adgear.com,28-jul-2021,1627430400.0
adhigh.net,adhigh.net,15-oct-2025,1760486400.0
adiode.com,adiode.com,08-jun-2021,1623110400.0
adiquity.com,adiquity.com,01-jun-2023,1685577600.0
adk2x.com,adk2x.com,19-mar-2021,1616112000.0
adlegend.com,adlegend.com,18-apr-2021,1618704000.0
adlooxtracking.com,adlooxtracking.com,18-aug-2021,1629244800.0
admantx.com,admantx.com,09-apr-2022,1649462400.0
