idna_subject,checker_type,destination,source,tested_at,session_id
0.fls.doubleclick.net,AVAILABILITY,domains.list,domains.list,2001-08-08 10:41:32.207954,c052ca0ff997833e5af0a936
0001-cab8-4c8c-43de.reporo.net,AVAILABILITY,domains.list,domains.list,2001-08-08 10:41:32.378448,c052ca0ff997833e5af0a936
002-slq-470.mktoresp.com,AVAILABILITY,domains.list,domains.list,2001-08-08 10:41:32.545079,c052ca0ff997833e5af0a936
004-btr-463.mktoresp.com,AVAILABILITY,domains.list,domains.list,2001-08-08 10:41:32.709922,c052ca0ff997833e5af0a936
005.free-counters.co.uk,AVAILABILITY,domains.list,domains.list,2001-08-08 10:41:32.869408,c052ca0ff997833e5af0a936
006.free-counters.co.uk,AVAILABILITY,domains.list,domains.list,2001-08-08 10:41:33.036420,c052ca0ff997833e5af0a936
007.free-counters.co.uk,AVAILABILITY,domains.list,domains.list,2001-08-08 10:41:33.206783,c052ca0ff997833e5af0a936
0075-7112-e7eb-f9b9.reporo.net,AVAILABILITY,domains.list,domains.list,2001-08-08 10:41:33.379755,c052ca0ff997833e5af0a936
008.free-counters.co.uk,AVAILABILITY,domains.list,domains.list,2001-08-08 10:41:33.545160,c052ca0ff997833e5af0a936
009-yli-241.mktoresp.com,AVAILABILITY,domains.list,domains.list,2001-08-08 10:41:33.713336,c052ca0ff997833e5af0a936
009.bapi.adsafeprotected.com,AVAILABILITY,domains.list,domains.list,2001-08-08 10:41:33.878360,c052ca0ff997833e5af0a936
00b5-d72d-8252-a96c.reporo.net,AVAILABILITY,domains.list,domains.list,2001-08-08 10:41:34.046475,c052ca0ff997833e5af0a936
00f9-d59a-b75d-8898.reporo.net,AVAILABILITY,domains.list,domains.list,2001-08-08 10:41:34.214474,c052ca0ff997833e5af0a936
00v07c3k7o.kameleoon.eu,AVAILABILITY,domains.list,domains.list,2001-08-08 10:41:34.384025,c052ca0ff997833e5af0a936
01-1099pro-nym2.ad.corp.appnexus.com,AVAILABILITY,domains.list,domains.list,2001-08-08 10:41:34.550931,c052ca0ff997833e5af0a936
01-dc-den2.ad.corp.appnexus.com,AVAILABILITY,domains.list,domains.list,2001-08-08 10:41:34.717390,c052ca0ff997833e5af0a936
01-ddpe-fe-nym2.corp.appnexus.com,AVAILABILITY,domains.list,domains.list,2001-08-08 10:41:35.033205,c052ca0ff997833e5af0a936
01-ddpe-nym2.ad.corp.appnexus.com,AVAILABILITY,domains.list,domains.list,2001-08-08 10:41:35.198186,c052ca0ff997833e5af0a936
01-exch-den2.ad.corp.appnexus.com,AVAILABILITY,domains.list,domains.list,2001-08-08 10:41:35.364467,c052ca0ff997833e5af0a936
01-ion-dr-lax.ad.corp.appnexus.com,AVAILABILITY,domains.list,domains.list,2001-08-08 10:41:35.989132,c052ca0ff997833e5af0a936
01-prf-dr-lax.ad.corp.appnexus.com,AVAILABILITY,domains.list,domains.list,2001-08-08 10:41:36.154872,c052ca0ff997833e5af0a936
01-prf-test-nym.ad.corp.appnexus.com,AVAILABILITY,domains.list,domains.list,2001-08-08 10:41:36.322614,c052ca0ff997833e5af0a936
01-rds-dev-nym1.ad.corp.appnexus.com,AVAILABILITY,domains.list,domains.list,2001-08-08 10:41:36.490945,c052ca0ff997833e5af0a936
01-rds-dr-lax.ad.corp.appnexus.com,AVAILABILITY,domains.list,domains.list,2001-08-08 10:41:36.661563,c052ca0ff997833e5af0a936
